text,label
congrats sally congratulations promotion md shanna,0
rsmits uftvmatudelftnl hello problem annoying let explain organisation using spamassassin check rcvd_in_pbl one users using webmail exchange sends email outside organisation gets points provider pbl internally dont check spam amavisdconf policy_bankmynets bypass_spam_checks_maps qw domainnl domainnet final_spam_destiny d_bounce virus_admin_maps oeacrkckdomainnl see get bounced gets many points pre...,0
niall brady bradynmathstcdie wed 21 aug 2002 124217 bst kiall mac innes said hi phillips head skrew thats holding circut board together need take asap nothing work threads skrew almost completly gone small skrew use percision skrewdriver set remove skrews help would appreaciated get small set drill bits start drilling right center head slow speed dont pop board bit indent increase speed little bit...,0
vvrpgsporcupineorg fmsfzcleechboxnet 2 tested 4000 smtpd processes limit saw much 2000 smtpd processes messages tend pile incoming without moved active processes drop back trigger reload mail moved active delivered easily obviously box maxes reaches 2000 amount postfix tweaking change spreading load disks help wietse trlxetswdxhmgmailcom sat apr 26 154851 2008 messageid 341924350802131546i6e6225ab...,0
harleyargotech robert harley wrote personally doubt simply never heard bush chirac going brighton actually doesnt say blair spoke williams r httpxentcommailmanlistinfofork fri 23 aug 2002 114833 0200 cest entrepreneurs,0
rhonda weston dwwinckelmwinckelorg pharmaceutical products discounted prices family needs found canadian pharmacy online drugstore orders delivered discreet packages protect privacy httpcontinueminecom visit us calculate money save thu 07 aug 2008 161516 0100 choose reliable source meds,1
frank_ben5mywaycom frank_ben4virgilioit firstrand bank 17th floor 1 merchant place corner fredom drive rivonia roadsandton 2196 pobox 786273sandton2146 south africa greetings apologize contents hereunder contrary moral ethicsbut please treat absolute secrecy personali discovered dormant account office group finance director firstrand bank interest transfer fund worth 18000000 million dollar accoun...,1
apologize late response inquiry website maintain healthy balanced lifestyle according records latest search specialize products catered specifically individuals looking increase lean muscle mass reduce body fat also assist improving skin tone mood increasing energy levels interest get info http www mumbaiexpress info h test recommended vendor required buy anything take peek cindy,1
bidstogo webmasterbidstogobiz hello _privacy policy_ permanently opt mailings simply send blank email optoutbidstogobiz bidstogo invites visit explore httpwwwbidstogobiz site dedicated _places go_ _things do_ use bidstogo advertise sell auction places go things right free make basic listing bidstogo great lodging hotels bed breakfasts resorts timeshares vacation rentals etc travel cruises yacht ch...,1
margery lovett dividebeeddisonsaddcom healthylifegenericsphentrimine http9aqwugbaylivefilestorecomy1pt_b2285z3h81jhvomwds3igeu2fm7o1vpnbpp10acbohrio4ri0tnqxacvlq9_lqs0fczj3vwjse05xh0chvgindexhtml wed 06 aug 2008 025501 0100 worldwideshippingspecialpricesfriendlysupport,1
